Group,Fig.,User Interface,,,,,,MIDI assign reference,,,,"MIDI-IN
(to PC/Mac)",,,"MIDI-OUT
(from PC/Mac)",,,Details (Data 2)
,,UI name,+SHIFT,,Trigger,Deck,Condition (mode),"MIDI
Channel (Dec)","NOTE
/ CC",MIDI Data (Data 1) (Dec),(English scale),Status (Hex),Data 1 (Hex),Data 2 (Hex),Status (Hex),Data 1 (Hex),Data 2 (Hex),
,,PERFORMANCE PAD 5 R,,No,,,SAMPLER MODE,14,Note,52,E3,0x9D,0x34,dd,0x9D,0x34,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,15,Note,52,E3,0x9E,0x34,dd,0x9E,0x34,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,KEYBOARD MODE,14,Note,68,G#4,0x9D,0x44,dd,0x9D,0x44,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,15,Note,68,G#4,0x9E,0x44,dd,0x9E,0x44,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,KEY SHIFT MODE,14,Note,84,C6,0x9D,0x54,dd,0x9D,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,15,Note,84,C6,0x9E,0x54,dd,0x9E,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,BEAT LOOP MODE,14,Note,100,E7,0x9D,0x64,dd,0x9D,0x64,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,15,Note,100,E7,0x9E,0x64,dd,0x9E,0x64,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,No,,,SP. SCRATCH MODE,14,Note,116,G#8,0x9D,0x74,dd,0x9D,0x74,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 5 R,,Yes,,,,15,Note,116,G#8,0x9E,0x74,dd,0x9E,0x74,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,Press,Deck 1,HOT CUE MODE,8,Note,5,F-1,0x97,0x5,dd,0x97,0x5,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,9,Note,5,F-1,0x98,0x5,dd,0x98,0x5,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,PAD FX MODE,8,Note,21,A0,0x97,0x15,dd,0x97,0x15,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,9,Note,21,A0,0x98,0x15,dd,0x98,0x15,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,BEAT JUMP MODE,8,Note,37,C#2,0x97,0x25,dd,0x97,0x25,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,9,Note,37,C#2,0x98,0x25,dd,0x98,0x25,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,SAMPLER MODE,8,Note,53,F3,0x97,0x35,dd,0x97,0x35,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,9,Note,53,F3,0x98,0x35,dd,0x98,0x35,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,KEYBOARD MODE,8,Note,69,A4,0x97,0x45,dd,0x97,0x45,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,9,Note,69,A4,0x98,0x45,dd,0x98,0x45,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,KEY SHIFT MODE,8,Note,85,C#6,0x97,0x55,dd,0x97,0x55,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,9,Note,85,C#6,0x98,0x55,dd,0x98,0x55,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,BEAT LOOP MODE,8,Note,101,F7,0x97,0x65,dd,0x97,0x65,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,9,Note,101,F7,0x98,0x65,dd,0x98,0x65,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,SP. SCRATCH MODE,8,Note,117,A8,0x97,0x75,dd,0x97,0x75,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,9,Note,117,A8,0x98,0x75,dd,0x98,0x75,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,Press,Deck 3,HOT CUE MODE,12,Note,5,F-1,0x9B,0x5,dd,0x9B,0x5,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,13,Note,5,F-1,0x9C,0x5,dd,0x9C,0x5,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,PAD FX MODE,12,Note,21,A0,0x9B,0x15,dd,0x9B,0x15,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,13,Note,21,A0,0x9C,0x15,dd,0x9C,0x15,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,BEAT JUMP MODE,12,Note,37,C#2,0x9B,0x25,dd,0x9B,0x25,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,13,Note,37,C#2,0x9C,0x25,dd,0x9C,0x25,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,SAMPLER MODE,12,Note,53,F3,0x9B,0x35,dd,0x9B,0x35,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,13,Note,53,F3,0x9C,0x35,dd,0x9C,0x35,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,KEYBOARD MODE,12,Note,69,A4,0x9B,0x45,dd,0x9B,0x45,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,13,Note,69,A4,0x9C,0x45,dd,0x9C,0x45,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,KEY SHIFT MODE,12,Note,85,C#6,0x9B,0x55,dd,0x9B,0x55,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,13,Note,85,C#6,0x9C,0x55,dd,0x9C,0x55,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,BEAT LOOP MODE,12,Note,101,F7,0x9B,0x65,dd,0x9B,0x65,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,13,Note,101,F7,0x9C,0x65,dd,0x9C,0x65,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,No,,,SP. SCRATCH MODE,12,Note,117,A8,0x9B,0x75,dd,0x9B,0x75,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 L,,Yes,,,,13,Note,117,A8,0x9C,0x75,dd,0x9C,0x75,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,Press,Deck 2,HOT CUE MODE,10,Note,5,F-1,0x99,0x5,dd,0x99,0x5,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,11,Note,5,F-1,0x9A,0x5,dd,0x9A,0x5,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,PAD FX MODE,10,Note,21,A0,0x99,0x15,dd,0x99,0x15,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,11,Note,21,A0,0x9A,0x15,dd,0x9A,0x15,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,BEAT JUMP MODE,10,Note,37,C#2,0x99,0x25,dd,0x99,0x25,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,11,Note,37,C#2,0x9A,0x25,dd,0x9A,0x25,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,SAMPLER MODE,10,Note,53,F3,0x99,0x35,dd,0x99,0x35,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,11,Note,53,F3,0x9A,0x35,dd,0x9A,0x35,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,KEYBOARD MODE,10,Note,69,A4,0x99,0x45,dd,0x99,0x45,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,11,Note,69,A4,0x9A,0x45,dd,0x9A,0x45,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,KEY SHIFT MODE,10,Note,85,C#6,0x99,0x55,dd,0x99,0x55,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,11,Note,85,C#6,0x9A,0x55,dd,0x9A,0x55,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,BEAT LOOP MODE,10,Note,101,F7,0x99,0x65,dd,0x99,0x65,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,11,Note,101,F7,0x9A,0x65,dd,0x9A,0x65,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,SP. SCRATCH MODE,10,Note,117,A8,0x99,0x75,dd,0x99,0x75,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,11,Note,117,A8,0x9A,0x75,dd,0x9A,0x75,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,Press,Deck 4,HOT CUE MODE,14,Note,5,F-1,0x9D,0x5,dd,0x9D,0x5,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,15,Note,5,F-1,0x9E,0x5,dd,0x9E,0x5,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,PAD FX MODE,14,Note,21,A0,0x9D,0x15,dd,0x9D,0x15,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,15,Note,21,A0,0x9E,0x15,dd,0x9E,0x15,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,BEAT JUMP MODE,14,Note,37,C#2,0x9D,0x25,dd,0x9D,0x25,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,15,Note,37,C#2,0x9E,0x25,dd,0x9E,0x25,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,SAMPLER MODE,14,Note,53,F3,0x9D,0x35,dd,0x9D,0x35,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,15,Note,53,F3,0x9E,0x35,dd,0x9E,0x35,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,KEYBOARD MODE,14,Note,69,A4,0x9D,0x45,dd,0x9D,0x45,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,15,Note,69,A4,0x9E,0x45,dd,0x9E,0x45,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,KEY SHIFT MODE,14,Note,85,C#6,0x9D,0x55,dd,0x9D,0x55,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,15,Note,85,C#6,0x9E,0x55,dd,0x9E,0x55,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,BEAT LOOP MODE,14,Note,101,F7,0x9D,0x65,dd,0x9D,0x65,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,15,Note,101,F7,0x9E,0x65,dd,0x9E,0x65,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,No,,,SP. SCRATCH MODE,14,Note,117,A8,0x9D,0x75,dd,0x9D,0x75,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 6 R,,Yes,,,,15,Note,117,A8,0x9E,0x75,dd,0x9E,0x75,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,Press,Deck 1,HOT CUE MODE,8,Note,6,F#-1,0x97,0x6,dd,0x97,0x6,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,9,Note,6,F#-1,0x98,0x6,dd,0x98,0x6,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,PAD FX MODE,8,Note,22,A#0,0x97,0x16,dd,0x97,0x16,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,9,Note,22,A#0,0x98,0x16,dd,0x98,0x16,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,BEAT JUMP MODE,8,Note,38,D2,0x97,0x26,dd,0x97,0x26,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,9,Note,38,D2,0x98,0x26,dd,0x98,0x26,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,SAMPLER MODE,8,Note,54,F#3,0x97,0x36,dd,0x97,0x36,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,9,Note,54,F#3,0x98,0x36,dd,0x98,0x36,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,KEYBOARD MODE,8,Note,70,A#4,0x97,0x46,dd,0x97,0x46,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,9,Note,70,A#4,0x98,0x46,dd,0x98,0x46,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,KEY SHIFT MODE,8,Note,86,D6,0x97,0x56,dd,0x97,0x56,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,9,Note,86,D6,0x98,0x56,dd,0x98,0x56,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,BEAT LOOP MODE,8,Note,102,F#7,0x97,0x66,dd,0x97,0x66,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,9,Note,102,F#7,0x98,0x66,dd,0x98,0x66,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,SP. SCRATCH MODE,8,Note,118,A#8,0x97,0x76,dd,0x97,0x76,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,9,Note,118,A#8,0x98,0x76,dd,0x98,0x76,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,Press,Deck 3,HOT CUE MODE,12,Note,6,F#-1,0x9B,0x6,dd,0x9B,0x6,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,13,Note,6,F#-1,0x9C,0x6,dd,0x9C,0x6,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,PAD FX MODE,12,Note,22,A#0,0x9B,0x16,dd,0x9B,0x16,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,13,Note,22,A#0,0x9C,0x16,dd,0x9C,0x16,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,BEAT JUMP MODE,12,Note,38,D2,0x9B,0x26,dd,0x9B,0x26,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,13,Note,38,D2,0x9C,0x26,dd,0x9C,0x26,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,SAMPLER MODE,12,Note,54,F#3,0x9B,0x36,dd,0x9B,0x36,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,13,Note,54,F#3,0x9C,0x36,dd,0x9C,0x36,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,KEYBOARD MODE,12,Note,70,A#4,0x9B,0x46,dd,0x9B,0x46,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,13,Note,70,A#4,0x9C,0x46,dd,0x9C,0x46,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,KEY SHIFT MODE,12,Note,86,D6,0x9B,0x56,dd,0x9B,0x56,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,13,Note,86,D6,0x9C,0x56,dd,0x9C,0x56,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,BEAT LOOP MODE,12,Note,102,F#7,0x9B,0x66,dd,0x9B,0x66,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,13,Note,102,F#7,0x9C,0x66,dd,0x9C,0x66,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,No,,,SP. SCRATCH MODE,12,Note,118,A#8,0x9B,0x76,dd,0x9B,0x76,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 L,,Yes,,,,13,Note,118,A#8,0x9C,0x76,dd,0x9C,0x76,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,Press,Deck 2,HOT CUE MODE,10,Note,6,F#-1,0x99,0x6,dd,0x99,0x6,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,11,Note,6,F#-1,0x9A,0x6,dd,0x9A,0x6,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,PAD FX MODE,10,Note,22,A#0,0x99,0x16,dd,0x99,0x16,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,11,Note,22,A#0,0x9A,0x16,dd,0x9A,0x16,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,BEAT JUMP MODE,10,Note,38,D2,0x99,0x26,dd,0x99,0x26,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,11,Note,38,D2,0x9A,0x26,dd,0x9A,0x26,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,SAMPLER MODE,10,Note,54,F#3,0x99,0x36,dd,0x99,0x36,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,11,Note,54,F#3,0x9A,0x36,dd,0x9A,0x36,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,KEYBOARD MODE,10,Note,70,A#4,0x99,0x46,dd,0x99,0x46,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,11,Note,70,A#4,0x9A,0x46,dd,0x9A,0x46,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,KEY SHIFT MODE,10,Note,86,D6,0x99,0x56,dd,0x99,0x56,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,11,Note,86,D6,0x9A,0x56,dd,0x9A,0x56,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,BEAT LOOP MODE,10,Note,102,F#7,0x99,0x66,dd,0x99,0x66,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,11,Note,102,F#7,0x9A,0x66,dd,0x9A,0x66,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,SP. SCRATCH MODE,10,Note,118,A#8,0x99,0x76,dd,0x99,0x76,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,11,Note,118,A#8,0x9A,0x76,dd,0x9A,0x76,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,Press,Deck 4,HOT CUE MODE,14,Note,6,F#-1,0x9D,0x6,dd,0x9D,0x6,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,15,Note,6,F#-1,0x9E,0x6,dd,0x9E,0x6,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,PAD FX MODE,14,Note,22,A#0,0x9D,0x16,dd,0x9D,0x16,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,15,Note,22,A#0,0x9E,0x16,dd,0x9E,0x16,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,BEAT JUMP MODE,14,Note,38,D2,0x9D,0x26,dd,0x9D,0x26,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,15,Note,38,D2,0x9E,0x26,dd,0x9E,0x26,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,SAMPLER MODE,14,Note,54,F#3,0x9D,0x36,dd,0x9D,0x36,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,15,Note,54,F#3,0x9E,0x36,dd,0x9E,0x36,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,KEYBOARD MODE,14,Note,70,A#4,0x9D,0x46,dd,0x9D,0x46,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,15,Note,70,A#4,0x9E,0x46,dd,0x9E,0x46,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,KEY SHIFT MODE,14,Note,86,D6,0x9D,0x56,dd,0x9D,0x56,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,15,Note,86,D6,0x9E,0x56,dd,0x9E,0x56,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,BEAT LOOP MODE,14,Note,102,F#7,0x9D,0x66,dd,0x9D,0x66,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,15,Note,102,F#7,0x9E,0x66,dd,0x9E,0x66,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,No,,,SP. SCRATCH MODE,14,Note,118,A#8,0x9D,0x76,dd,0x9D,0x76,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 7 R,,Yes,,,,15,Note,118,A#8,0x9E,0x76,dd,0x9E,0x76,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,No,Press,Deck 1,HOT CUE MODE,8,Note,7,G-1,0x97,0x7,dd,0x97,0x7,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,Yes,,,,9,Note,7,G-1,0x98,0x7,dd,0x98,0x7,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,No,,,PAD FX MODE,8,Note,23,B0,0x97,0x17,dd,0x97,0x17,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,Yes,,,,9,Note,23,B0,0x98,0x17,dd,0x98,0x17,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,No,,,BEAT JUMP MODE,8,Note,39,D#2,0x97,0x27,dd,0x97,0x27,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,Yes,,,,9,Note,39,D#2,0x98,0x27,dd,0x98,0x27,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,No,,,SAMPLER MODE,8,Note,55,G3,0x97,0x37,dd,0x97,0x37,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,Yes,,,,9,Note,55,G3,0x98,0x37,dd,0x98,0x37,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,No,,,KEYBOARD MODE,8,Note,71,B4,0x97,0x47,dd,0x97,0x47,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,Yes,,,,9,Note,71,B4,0x98,0x47,dd,0x98,0x47,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,No,,,KEY SHIFT MODE,8,Note,87,D#6,0x97,0x57,dd,0x97,0x57,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,Yes,,,,9,Note,87,D#6,0x98,0x57,dd,0x98,0x57,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,No,,,BEAT LOOP MODE,8,Note,103,G7,0x97,0x67,dd,0x97,0x67,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,Yes,,,,9,Note,103,G7,0x98,0x67,dd,0x98,0x67,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,No,,,SP. SCRATCH MODE,8,Note,119,B8,0x97,0x77,dd,0x97,0x77,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,Yes,,,,9,Note,119,B8,0x98,0x77,dd,0x98,0x77,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,No,Press,Deck 3,HOT CUE MODE,12,Note,7,G-1,0x9B,0x7,dd,0x9B,0x7,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,Yes,,,,13,Note,7,G-1,0x9C,0x7,dd,0x9C,0x7,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PERFORMANCE PAD 8 L,,No,,,PAD FX MODE,12,Note,23,B0,0x9B,0x17,dd,0x9B,0x17,dd,"NoteOff=0x00, NoteOn=0x7F"
