Group,Fig.,User Interface,,,,,,MIDI assign reference,,,,"MIDI-IN
(to PC/Mac)",,,"MIDI-OUT
(from PC/Mac)",,,Details (Data 2)
,,UI name,+SHIFT,,Trigger,Deck,Condition (mode),"MIDI
Channel (Dec)","NOTE
/ CC",MIDI Data (Data 1) (Dec),(English scale),Status (Hex),Data 1 (Hex),Data 2 (Hex),Status (Hex),Data 1 (Hex),Data 2 (Hex),
,,MERGE FX PARAMETER R,,No,Press,-,-,6,Note,46,A#2,0x95,0x2E,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,MERGE FX PARAMETER R,,Yes,,,-,6,Note,49,C#3,0x95,0x31,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,MERGE FX ILLUMINATION R,,-,-,-,-,6,CC,-,-,-,-,-,0xB5,0x10,dd,"Off=0x00, On=0x7F"
,1-15L,BEAT SYNC L,,No,Press,Deck 1,-,1,Note,88,E6,0x90,0x58,dd,0x90,0x58,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT SYNC L,,Yes,,,,1,Note,93,A6,0x90,0x5D,dd,0x90,0x5D,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT SYNC L,,No,Press,Deck 3,-,3,Note,88,E6,0x92,0x58,dd,0x92,0x58,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT SYNC L,,Yes,,,,3,Note,93,A6,0x92,0x5D,dd,0x92,0x5D,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-15R,BEAT SYNC R,,No,Press,Deck 2,-,2,Note,88,E6,0x91,0x58,dd,0x91,0x58,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT SYNC R,,Yes,,,,2,Note,93,A6,0x91,0x5D,dd,0x91,0x5D,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT SYNC R,,No,Press,Deck 4,-,4,Note,88,E6,0x93,0x58,dd,0x93,0x58,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT SYNC R,,Yes,,,,4,Note,93,A6,0x93,0x5D,dd,0x93,0x5D,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-16L,MASTER L,,No,Press,Deck 1,-,1,Note,92,G#6,0x90,0x5C,dd,0x90,0x5C,dd,"NoteOff=0x00, NoteOn=0x7F"
,,MASTER L,,Yes,,,,1,Note,96,C7,0x90,0x60,dd,0x90,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,,MASTER L,,No,Press,Deck 3,-,3,Note,92,G#6,0x92,0x5C,dd,0x92,0x5C,dd,"NoteOff=0x00, NoteOn=0x7F"
,,MASTER L,,Yes,,,,3,Note,96,C7,0x92,0x60,dd,0x90,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-16R,MASTER R,,No,Press,Deck 2,-,2,Note,92,G#6,0x91,0x5C,dd,0x91,0x5C,dd,"NoteOff=0x00, NoteOn=0x7F"
,,MASTER R,,Yes,,,,2,Note,96,C7,0x91,0x60,dd,0x91,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,,MASTER R,,No,Press,Deck 4,-,4,Note,92,G#6,0x93,0x5C,dd,0x93,0x5C,dd,"NoteOff=0x00, NoteOn=0x7F"
,,MASTER R,,Yes,,,,4,Note,96,C7,0x93,0x60,dd,0x93,0x60,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-17L,TEMPO L,,No,Slide,Deck 1,-,1,CC,"00
32",-,0xB0,"0x00
0x20",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,TEMPO L,,Yes,,,,1,CC,"05
37",-,0xB0,"0x05
0x25",MSB LSB,,,,
,,TEMPO L,,No,Slide,Deck 3,-,3,CC,"00
32",-,0xB2,"0x00
0x20",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,TEMPO L,,Yes,,,,3,CC,"05
37",-,0xB2,"0x05
0x25",MSB LSB,,,,
,1-17R,TEMPO R,,No,Slide,Deck 2,-,2,CC,"00
32",-,0xB1,"0x00
0x20",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,TEMPO R,,Yes,,,,3,CC,"05
37",-,0xB2,"0x05
0x25",MSB LSB,,,,
,,TEMPO R,,No,Slide,Deck 4,-,4,CC,"00
32",-,0xB3,"0x00
0x20",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,TEMPO R,,Yes,,,,4,CC,"05
37",-,0xB3,"0x05
0x25",MSB LSB,,,,
2.EFFECT,2-1,BFX SELECT,,No,Press,-,"FX1-1
→FX1-2",5,Note,112,E8,0x94,0x70,0x0,-,-,-,
,,BFX SELECT,,,,,,5,Note,113,F8,0x94,0x71,0x7F,-,-,-,
,,BFX SELECT,,,,,"FX1-2
→FX1-3",5,Note,113,F8,0x94,0x71,0x0,-,-,-,
,,BFX SELECT,,,,,,5,Note,114,F#8,0x94,0x72,0x7F,-,-,-,
,,BFX SELECT,,,,,"FX1-3
→FX2-1",5,Note,114,F#8,0x94,0x72,0x0,-,-,-,
,,BFX SELECT,,,,,,6,Note,112,E8,0x95,0x70,0x7F,-,-,-,
